"","Status","Finished","ResponseId","性别","语言","学习阶段","年级","年级.1","询问","number_failed","trialType","textInput"
"1","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"practice.trial.1","花园"
"2","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"practice.trial.2","有"
"3","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"lawyer.male",""
"4","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"lawyer.female","她"
"5","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"lawyer.neutral",""
"6","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"doctor.male","他"
"7","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"doctor.female",""
"8","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"doctor.neutral",""
"9","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"student.male","他"
"10","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"student.female",""
"11","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"student.neutral",""
"12","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"model.male",""
"13","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"model.female",""
"14","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"model.neutral","她"
"15","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"singer.male",""
"16","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"singer.female",""
"17","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"singer.neutral","她"
"18","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"phd.male",""
"19","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"phd.female",""
"20","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"phd.neutral","它"
"21","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"baker.male",""
"22","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"baker.female","她"
"23","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"baker.neutral",""
"24","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"salesman.male","他"
"25","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"salesman.female",""
"26","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"salesman.neutral",""
"27","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"nurse.male","他"
"28","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"nurse.female",""
"29","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"nurse.neutral",""
"30","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"wireman.male",""
"31","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"wireman.female","她"
"32","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"wireman.neutral",""
"33","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"photographer.male","他"
"34","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"photographer.female",""
"35","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"photographer.neutral",""
"36","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"athlete.male",""
"37","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"athlete.female",""
"38","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"athlete.neutral","他"
"39","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.1","幸福"
"40","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.2","排队"
"41","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.3","认同"
"42","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.4","时间"
"43","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.5","所有"
"44","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.6","这"
"45","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.7","有"
"46","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.8","香味"
"47","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.9","大约"
"48","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.10","天气"
"49","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.11","三"
"50","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.12","着"
"51","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.13","写生"
"52","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.14","光"
"53","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.15","许多"
"54","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.16","梅花"
"55","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.17","水果"
"56","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.18","也"
"57","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.19","七"
"58","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.20","北"
"59","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.21","少年"
"60","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.22","红"
"61","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.23","似"
"62","IPAddress","True","R3KZRHOFjLpaxoU3","女","中文","小学阶段","小学四年级","","人类性别",1,"filler.24","儿童"
"63","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"practice.trial.1","花园"
"64","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"practice.trial.2","有"
"65","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"lawyer.male","他"
"66","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"lawyer.female",""
"67","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"lawyer.neutral",""
"68","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"doctor.male","他"
"69","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"doctor.female",""
"70","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"doctor.neutral",""
"71","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"student.male",""
"72","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"student.female","她"
"73","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"student.neutral",""
"74","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"model.male","他"
"75","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"model.female",""
"76","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"model.neutral",""
"77","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"singer.male","他"
"78","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"singer.female",""
"79","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"singer.neutral",""
"80","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"phd.male",""
"81","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"phd.female","她"
"82","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"phd.neutral",""
"83","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"baker.male","他"
"84","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"baker.female",""
"85","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"baker.neutral",""
"86","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"salesman.male",""
"87","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"salesman.female",""
"88","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"salesman.neutral","他"
"89","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"nurse.male",""
"90","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"nurse.female","她"
"91","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"nurse.neutral",""
"92","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"wireman.male","他"
"93","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"wireman.female",""
"94","IPAddress","True","R21zYNnUgDjDBsPE","女","中文英语","小学阶段","小学四年级","","拼音",1,"wireman.neutral",""
