StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,practice trial 1,practice trial 2,lawyer-male,lawyer-female,lawyer-neutral,doctor-male,doctor-female,doctor-neutral,student-male,student-female_1,student-neutral,model-male,model-female,model-neutral,singer-male,singer-female,singer-neutral,phd-male,phd-female,phd-neutral,baker-male,baker-female,baker-neutral,salesman-male,salesman-female,salesman-neutral,nurse-male,nurse-female,nurse-neutral,wireman-male,wireman-female,wireman-neutral,photographer-male,photographer-female,photographer-neutral,athlete-male,athlete-female,athlete-neutral,filler 1,filler 2,filler 3,filler 4,filler 5,filler 6,filler 7,filler 8,filler 9,filler 10,filler 11,filler 12,filler 13,filler 14,filler 15,filler 16,filler 17,filler 18,filler 19,filler 20,filler 21,filler 22,filler 23,filler 24,性别,语言,学习阶段,年级,年级,询问
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,当孩子们回到了巨人的____（huāyuán），桃树马上绽出绿芽，开出许多美丽的花朵。,借问酒家何处__（yǒu），牧童遥指杏花村。,法庭中央站立的是一位男律师，__ (tā) 即将开始为被告辩护。,法庭中央站立的是一位女律师，__ (tā) 即将开始为被告辩护。,法庭中央站立的是一位律师，__ (tā) 即将开始为被告辩护。,"手术台旁边站着一位男医生, __ (tā) 穿着手术服。","手术台旁边站着一位女医生, __ (tā) 穿着手术服。","手术台旁边站着一位医生, __ (tā) 穿着手术服。","课桌旁边坐着一位男学生, __ (tā) 在写作业。",Text,"课桌旁边坐着一位学生, __ (tā) 在写作业。","台上站着一位男模特, __ (tā) 准备走T台。","台上站着一位女模特, __ (tā) 准备走T台。","台上站着一位模特, __ (tā) 准备走T台。","舞台中央站着一位男歌手, __ (tā) 正在唱歌。","舞台中央站着一位女歌手, __ (tā) 正在唱歌。","舞台中央站着一位歌手, __ (tā) 正在唱歌。","实验室里坐着一位男博士, __ (tā) 正在做研究。","实验室里坐着一位女博士, __ (tā) 正在做研究。","实验室里坐着一位博士, __ (tā) 正在做研究。","橱窗旁站着一位男面包师, __ (tā) 正在做糕点。","橱窗旁站着一位女面包师, __ (tā) 正在做糕点。","橱窗旁站着一位面包师, __ (tā) 正在做糕点。","门前站着一位男推销员, __ (tā) 正在推销产品。","门前站着一位女推销员, __ (tā) 正在推销产品。","门前站着一位推销员, __ (tā) 正在推销产品。","病房里坐着一位男护士, __ (tā) 正在照看病人。","病房里坐着一位女护士, __ (tā) 正在照看病人。","病房里坐着一位护士, __ (tā) 正在照看病人。","房间里站着一位男电工, __ (tā) 正在维修电灯。","房间里站着一位女电工, __ (tā) 正在维修电灯。","病房里站着一位电工, __ (tā) 正在维修电灯。","校园里有一位男摄影师, __ (tā) 正在拍摄照片。","校园里有一位女摄影师, __ (tā) 正在拍摄照片。","校园里有一位摄影师, __ (tā) 正在拍摄照片。","体育场内站着一位男运动员, __ (tā) 正在热身。","体育场内站着一位女运动员, __ (tā) 正在热身。","体育场内站着一位运动员, __ (tā) 正在热身。",失去是一种痛苦，也是一种____（xìnɡfú）。,小明去游乐场游玩，售票窗口的告示上写着“买票请____（páiduì）”。,其实，对于王新的提议，我们是____（rèntóng）的。,一切节省，归根到底都归结为____（shíjiān）的节省。,在____（suǒyǒu）的批评家中，最伟大、最正确、最天才的是时间。,经过一晚上的努力，小亮将__（zhè）首诗背得滚瓜烂熟。,学校操场北边墙上满是爬山虎。我家也__（yǒu）爬山虎。,等我们把衣服烘干，松鸡也烧好了，扒开洞，就闻到一股____（xiānɡwèi）。,往前走，来到一个卖柚子的小姑娘跟前，她____（dàyuē）和堂妹一样年纪。,"他说这里气候变化莫测,常常一个时辰就可以出现阴晴雨雪、冰雹风霜多种____（tiānqì）。",九岁的凡卡·茹科夫，__（sān）个月前给送到鞋匠阿里亚希涅那儿做学徒。,过了一个钟头，他怀__（zhe）甜蜜的希望睡熟了。,有一次，我同几个画友去泰山____（xiěshēng），就遇到过这种情况。,"太阳像个红球,慢慢地升起来,发出淡淡的__（guāng），一点儿也不耀眼。","柿子树上挂着____（xǔduō）大柿子,像一个一个的红灯笼。",小鸡画竹叶，小狗画____（méihuā），小鸭画枫叶，小马画月牙。,令我念念难忘的，倒不是这些又便宜又好喝的____（shuǐguǒ）汁，而是那些卖水人。,卖水人浓厚的人情味，__（yě）叫人感动莫名。,一去二三里，烟村四五家。亭台六__（qī）座，八九十枝花。,鱼戏莲叶东，鱼戏莲叶西， 鱼戏莲叶南，鱼戏莲叶__（běi）。,____（shàonián）听雨歌楼上，红烛昏罗帐。,停车坐爱枫林晚，霜叶__（hóng）于二月花。,床前明月光，疑__（shì）地上霜。 举头望明月，低头思故乡。,____（értóng）散学归来早，忙趁东风放纸鸢。,您的性别是,请问您会说什么语言,您的学习阶段是,您的年级是（暑假前）,您的年级是（暑假前）,您认为该问卷具体是为了研究什么
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID99_TEXT""}"
2022-06-29 12:02:51,2022-06-29 12:08:32,Survey Preview,,100,341,True,2022-06-29 12:08:33,R_SSH6zmAeqMIsgVj,,,,,37.751,-97.822,preview,EN,花园,有,,她,,,她,,他,,,,,她,他,,,,,他,,她,,他,,,,她,,,,他,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,,高中阶段,,高中二年级,高中生和小学生使用语言的方式反映的性别刻板印象
2022-07-01 14:35:36,2022-07-01 14:42:38,Survey Preview,,100,422,True,2022-07-01 14:42:39,R_Dq7Rak4STdpXMsx,,,,,34.0544,-118.2441,preview,ZH-S,test,test,8,,,,,0,,0,,,80,,,,0,9,,,0,,,,,0,k,,,,0,,,,5,,4,,1,3,0,0,0,0,0,0,-,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,女,0,高中阶段,,高中二年级,
2022-07-03 01:06:17,2022-07-03 01:12:23,IP Address,103.233.52.93,100,365,True,2022-07-03 01:12:23,R_10Vkd8rbA3Pv66G,,,,,34.7732,113.722,anonymous,ZH-S,花园,有,,,他,他,,,,,他,他,,,,她,,,她,,,,他,,她,,,,她,他,,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文 英文,高中阶段,,高中三年级,
2022-07-03 01:10:40,2022-07-03 01:18:06,IP Address,123.119.162.57,100,445,True,2022-07-03 01:18:06,R_tFICPiF0R2mMrpD,,,,,39.9075,116.3972,anonymous,ZH-S,花园,有,,,他,,,他,,,他,,她,,,她,,他,,,,,他,,她,,,,她,,,他,,她,,他,,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,女,中文，英语,高中阶段,,高中三年级,不清楚
2022-07-03 01:39:43,2022-07-03 01:43:41,IP Address,118.114.105.254,100,238,True,2022-07-03 01:43:42,R_3KZRHOFjLpaxoU3,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,,她,,他,,,他,,,,,她,,,她,,,它,,她,,他,,,他,,,,她,,他,,,,,他,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,中文,小学阶段,小学四年级,,人类性别
2022-07-03 01:38:44,2022-07-03 01:44:17,IP Address,116.169.0.71,100,333,True,2022-07-03 01:44:17,R_21zYNnUgDjDBsPE,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,他,,,他,,,,她,,他,,,他,,,,她,,他,,,,,他,,她,,他,,,他,,,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,中文英语,小学阶段,小学四年级,,拼音
2022-07-03 01:46:56,2022-07-03 01:53:33,IP Address,223.104.216.162,100,396,True,2022-07-03 01:53:33,R_24OAqCLnJU2pe9s,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,,她,,它,,,,,他,他,,,,她,,,,他,,她,,,,她,,她,,他,,,,她,,他,,,幸福,排队,认同,时间,所有,这,有,鲜味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,似,儿童,女,中文,小学阶段,小学四年级,,不太清楚
2022-07-03 01:40:21,2022-07-03 01:56:48,IP Address,183.220.5.182,100,986,True,2022-07-03 01:56:48,R_2WSWe1IQLMs5GAZ,,,,,30.6498,104.0555,anonymous,ZH-S,花园,有,,,他,,她,,他,,,,她,,,,她,他,,,他,,,,她,,他,,,,,他,,,他,,她,,幸福,排队,认同,时间,所有,这,有,香味,大约,天气,三,着,写生,光,许多,梅花,水果,也,七,北,少年,红,是,儿童,男,中文,小学阶段,小学三年级,,中文文字
